gene,log2FC,t_statistic,p_value,mean_tumor,mean_normal,adj_p_value,significant,direction,neg_log10_padj
FAM107A,-3.371798570657635,-23.81987433751472,6.641899270453137e-44,7.451084000913793,10.822882571571428,8.976526864017414e-40,True,Downregulated in Tumor,39.04689166506515
CDH5,-2.6195733631481337,-21.743296916878922,1.3171357151325525e-40,6.804586173362069,9.424159536510203,8.900544595008224e-37,True,Downregulated in Tumor,36.05058341949317
PECAM1,-1.8139137417705857,-20.933863916393033,3.357324988431768e-39,9.836642019862067,11.650555761632653,1.5124749072885113e-35,True,Downregulated in Tumor,34.82031182177733
STARD13,-1.219819767119283,-20.83883172741046,5.2213366636078476e-39,7.630346923982758,8.850166691102041,1.7641591252165015e-35,True,Downregulated in Tumor,34.75346224455189
AGER,-4.417469530992963,-20.989042525804308,4.769095360383471e-38,7.459342881517242,11.876812412510205,1.2890864759116523e-34,True,Downregulated in Tumor,33.88971794785099
VWF,-2.2584735086171666,-20.904174053929918,1.4646793682264635e-37,9.567465729137933,11.8259392377551,3.0113647938652527e-34,True,Downregulated in Tumor,33.521236631280196
HIGD1B,-1.3639731366108379,-20.96340225273979,1.7149318223189973e-37,7.949560087103448,9.313533223714286,3.0113647938652527e-34,True,Downregulated in Tumor,33.521236631280196
SPP1,4.364415124273047,20.546466812949035,1.7825318794614888e-37,11.697896956068966,7.333481831795919,3.0113647938652527e-34,True,Upregulated in Tumor,33.521236631280196
FABP4,-3.838541312839549,-20.00483175076105,2.2545751787017154e-37,7.136528787793104,10.975070100632653,3.3856203933504097e-34,True,Downregulated in Tumor,33.47036173799177
CD36,-2.416983732648136,-21.655562048800597,3.3117141106363074e-37,7.154255604862069,9.571239337510205,3.729818017104141e-34,True,Downregulated in Tumor,33.42831235749306
ABCA8,-2.9599096880675573,-20.313689249847563,2.925071827311036e-37,6.484079791034483,9.44398947910204,3.729818017104141e-34,True,Downregulated in Tumor,33.42831235749306
CLEC3B /// EXOSC7,-3.411853498058411,-20.773668642051895,3.2516622551523154e-37,7.338750064206897,10.750603562265308,3.729818017104141e-34,True,Downregulated in Tumor,33.42831235749306
DUOX1,-2.176523477041168,-20.130835881504844,4.0309973954956664e-37,6.611608491224138,8.788131968265306,4.190686907701841e-34,True,Downregulated in Tumor,33.3777147847249
NPR1,-1.1821510035161857,-21.021580854928974,4.760418881537726e-37,6.992397401810345,8.174548405326531,4.595504370284454e-34,True,Downregulated in Tumor,33.3376668165498
TCF21,-2.5300979095573553,-20.611005689480415,5.754045240117095e-37,6.197361445034481,8.727459354591836,5.1843947613455024e-34,True,Downregulated in Tumor,33.28530193689312
LDB2,-2.2117825543406067,-19.696469812509037,1.993430648035232e-36,8.156378437965516,10.368160992306123,1.68382595051226e-33,True,Downregulated in Tumor,32.77370280157663
JAM2,-1.559132430157633,-20.51613761840788,4.9842602431488237e-36,7.869066989413795,9.428199419571428,3.962486893303315e-33,True,Downregulated in Tumor,32.40203216128535
FHL1,-2.5550411671062623,-20.98069355886106,5.762909707794599e-36,9.601950222689656,12.156991389795918,4.3269847056024455e-33,True,Downregulated in Tumor,32.36381463987967
CLDN5,-1.8882777294458126,-19.04298784700138,7.789970875018302e-36,8.338661903982757,10.22693963342857,5.54112928294065e-33,True,Downregulated in Tumor,32.2564017169737
EPAS1,-2.087425408263549,-18.838644598259698,1.8592689987377407e-35,10.997456538879309,13.084881947142858,1.2564010258970281e-32,True,Downregulated in Tumor,31.900871717656184
ITIH5,-1.1389693224757211,-18.839347517604878,2.335476861839724e-35,7.146870189034483,8.285839511510204,1.503046180369708e-32,True,Downregulated in Tumor,31.82302767571939
TNXA /// TNXB,-1.6941137495809286,-18.750027760812543,1.1656170758562257e-34,8.845911853051724,10.540025602632653,7.160597627362223e-32,True,Downregulated in Tumor,31.145050729726446
TGFBR3,-2.4222016803198443,-18.806979267029753,1.8361110820505633e-34,7.25811890174138,9.680320582061224,1.0789148379962333e-31,True,Downregulated in Tumor,30.967012834138174
FIGF /// PIR-FIGF,-2.554901556087967,-19.363395724710948,2.988060263535009e-34,7.817015227034482,10.37191678312245,1.6826514359031518e-31,True,Downregulated in Tumor,30.774005839545286
AOC3,-1.8686365056263199,-18.17819199514948,1.1534052581916517e-33,8.128016057965517,9.996652563591837,6.235308825784069e-31,True,Downregulated in Tumor,30.205142031678236
SPOCK2,-2.0318916224264587,-18.138983272159802,1.2232463639916174e-33,8.276530858655173,10.308422481081632,6.35852869590258e-31,True,Downregulated in Tumor,30.196643364410065
KCNK3,-2.049443264255453,-18.57141903321724,1.372985171070173e-33,6.920636482724138,8.970079746979591,6.872553550745699e-31,True,Downregulated in Tumor,30.16288186746081
CD93,-1.7485399584845176,-17.810295736455895,1.869492342858274e-33,9.861764637637933,11.61030459612245,9.023638933474846e-31,True,Downregulated in Tumor,30.044618290614352
EDNRB,-2.2274919115763563,-20.836377554259418,3.720114358179192e-33,7.76355913813793,9.991051049714287,1.6046948060873987e-30,True,Downregulated in Tumor,29.794607553063162
FXYD6,-1.4626558855858551,-17.569046405513102,7.137713100885055e-33,8.175058178189655,9.63771406377551,2.9232179563170156e-30,True,Downregulated in Tumor,29.534138802262525
GPM6B,-2.2245382252790282,-17.68998878394308,1.0417911686011933e-32,6.893479849741379,9.118018075020407,4.1411198951897436e-30,True,Downregulated in Tumor,29.382882195465857
ADARB1,-1.899192517811401,-18.07742812928321,1.9191506902570742e-32,7.39849245186207,9.29768496967347,7.410663308235532e-30,True,Downregulated in Tumor,29.130142917767788
TACC1,-1.4980590676523544,-18.956288009552544,2.8589482218106226e-32,10.610711162551727,12.108770230204081,1.0442887896694747e-29,True,Downregulated in Tumor,28.981179384076697
SLIT2,-1.966872745534129,-17.552551552062805,2.8092358032706327e-32,8.67214516024138,10.639017905775509,1.0442887896694747e-29,True,Downregulated in Tumor,28.981179384076697
CLDN18,-3.446411652246658,-17.224249948351325,3.9157948589679036e-32,8.518740005120689,11.965151657367347,1.3926833557618742e-29,True,Downregulated in Tumor,28.85614761471549
RASIP1,-1.594804444784307,-18.626777058071113,7.90201705381489e-32,8.22664109160345,9.821445536387756,2.7383528328796983e-29,True,Downregulated in Tumor,28.56251059436846
C14orf132,-1.5140257634447565,-16.941232682896057,8.51491194648815e-32,7.958521203310346,9.472546966755102,2.876975873919684e-29,True,Downregulated in Tumor,28.541063780051797
TIE1,-1.9310316297269523,-17.270443714817734,8.812958260664823e-32,7.410533294068966,9.341564923795918,2.9050519729971974e-29,True,Downregulated in Tumor,28.53684609343407
RGCC,-2.243364731923995,-17.32811402194281,9.847113633621076e-32,9.806356613586207,12.049721345510202,3.1686604942473534e-29,True,Downregulated in Tumor,28.49912429074775
AKAP2 /// PALM2-AKAP2,-1.7144353844546103,-17.172825392820027,1.1531873622622392e-31,9.924528537586205,11.638963922040816,3.624494697900968e-29,True,Downregulated in Tumor,28.4407525312198
CAT,-1.3735273417093588,-17.363361362353277,1.2918567327640838e-31,10.86964347686207,12.243170818571429,3.968055396206044e-29,True,Downregulated in Tumor,28.40142227348896
ARHGAP6,-1.9401847245570014,-17.410429143538543,1.4564134670811272e-31,6.097679792810345,8.037864517367346,4.374095112800319e-29,True,Downregulated in Tumor,28.35911177765064
SASH1,-1.1465153667656605,-18.133151748021497,1.730713170037207e-31,9.857736827724137,11.004252194489798,5.084910541968011e-29,True,Downregulated in Tumor,28.293716683148592
NME1,1.747713402391625,16.784690036073716,1.945134264635293e-31,10.504976630534482,8.757263228142858,5.593295656711912e-29,True,Upregulated in Tumor,28.25233222363888
FOXF1,-2.2280578829806483,-19.105275962265118,3.19144535587471e-31,7.3032419716724135,9.531299854653062,8.98591333013473e-29,True,Downregulated in Tumor,28.04643777452841
RAI2,-1.4706096847237875,-17.0507087234839,5.661103135432661e-31,6.595126723051723,8.06573640777551,1.5614246709259674e-28,True,Downregulated in Tumor,27.806478962948553
CLIC5,-3.083551368493665,-16.711663518359806,7.132203308816777e-31,7.883955377465518,10.967506745959183,1.9278345543731747e-28,True,Downregulated in Tumor,27.71493023973083
LEPR /// LEPROT,-2.5943401467536944,-17.490830811444557,9.552348653339528e-31,6.647339083103448,9.241679229857143,2.531372393134975e-28,True,Downregulated in Tumor,27.596643960575836
ADIRF,-2.7054627631871924,-16.368833250832246,1.214073834595495e-30,7.31319812324138,10.018660886428572,3.1554245912611762e-28,True,Downregulated in Tumor,27.50094219419004
AGTR1,-1.6991026559412372,-19.01830425423484,1.4300258576980042e-30,6.576203202568966,8.275305858510203,3.646565937129911e-28,True,Downregulated in Tumor,27.438115929126138
EMP2,-2.027159870738215,-16.355075869126566,1.486843381308012e-30,9.681843291241378,11.709003161979593,3.721238573773663e-28,True,Downregulated in Tumor,27.429312485863434
FEZ1,-1.452499885992962,-16.436379451698144,2.044221481599926e-30,8.183330150517241,9.635830036510203,5.023209695240545e-28,True,Downregulated in Tumor,27.299018691722004
ITM2A,-1.2776218479950714,-16.18410498082102,3.686156736574191e-30,9.08265976386207,10.360281611857141,8.740071630666702e-28,True,Downregulated in Tumor,27.05848500802054
KDELR2,1.4222702120133697,16.122216272132363,4.112712217040563e-30,11.229055104482757,9.806784892469388,9.583328554017793e-28,True,Upregulated in Tumor,27.018483622281583
GPX3,-2.1108822698740344,-16.83943410508426,4.359152850490357e-30,10.82836125175862,12.939243521632655,9.985415385487657e-28,True,Downregulated in Tumor,27.00063386410596
ADAMTSL3,-1.9936949073581989,-17.61364875683421,5.3542176310222116e-30,5.927479387172414,7.921174294530613,1.206037521387753e-27,True,Downregulated in Tumor,26.91863918052243
DPEP2,-1.217437612331457,-17.06644075939127,7.549549402844154e-30,7.151195593137931,8.368633205469388,1.6726583635973566e-27,True,Downregulated in Tumor,26.776592753571762
PDZD2,-2.2598435994320907,-15.976578928972486,7.803514382829138e-30,6.675927151241379,8.93577075067347,1.701040272321545e-27,True,Downregulated in Tumor,26.769285404294557
TNNC1,-2.8979773258715706,-16.288448912698264,9.038928413823354e-30,5.668670340189655,8.566647666061225,1.9390653573463908e-27,True,Downregulated in Tumor,26.712407552521846
CAV1,-2.420303753893739,-18.536646302268014,1.1542455808637711e-29,9.875516876310344,12.295820630204084,2.437442035214667e-27,True,Downregulated in Tumor,26.613065703459473
SPTBN1,-1.3150874258325125,-15.880817799515588,1.2680683003570334e-29,10.821325501310344,12.136412927142857,2.6366066275885084e-27,True,Downregulated in Tumor,26.578954660578706
SESN1,-1.1953861888170305,-15.868071070699063,1.8378332284742768e-29,8.683879679448275,9.879265868265305,3.76338122467119e-27,True,Downregulated in Tumor,26.42442178609547
ACADL,-1.5130448292839551,-18.26867635801011,2.1928005405953567e-29,6.37168618687931,7.884731016163265,4.3581910744332716e-27,True,Downregulated in Tumor,26.36069373307258
TNS1,-1.6581775377195633,-16.91483121706651,2.1837353975477936e-29,10.526006156362069,12.184183694081632,4.3581910744332716e-27,True,Downregulated in Tumor,26.36069373307258
SVEP1,-1.1923093771755813,-17.00731135044491,3.132616170413867e-29,8.897155745844827,10.089465123020409,6.135841672919335e-27,True,Downregulated in Tumor,26.212125855295156
RAMP2,-1.7688540321826185,-18.353127606507876,3.243060996332716e-29,7.4708934653275865,9.239747497510205,6.2614241950623795e-27,True,Downregulated in Tumor,26.20332687290642
CRYAB,-1.2641937588194923,-16.194747682992343,3.4271600645222184e-29,7.667061935017242,8.931255693836734,6.523671587608139e-27,True,Downregulated in Tumor,26.185507910182277
PIP5K1B,-1.7637718684444046,-15.629501644687151,3.647197072186462e-29,7.321269554086207,9.085041422530612,6.846092837583338e-27,True,Downregulated in Tumor,26.16455721583548
CAV2,-2.4641038047723427,-16.253019064202565,4.465059787450699e-29,8.394417702982759,10.858521507755102,8.266477127040575e-27,True,Downregulated in Tumor,26.082679531589907
EMCN,-1.8038501896002819,-16.7649580800884,5.0131051571010373e-29,7.187492050379309,8.991342239979591,9.03361549309607e-27,True,Downregulated in Tumor,26.04413839869608
KLF2,-1.924356528588671,-15.59422012463619,7.921281046900364e-29,8.955975313982758,10.88033184257143,1.408633070379716e-26,True,Downregulated in Tumor,25.851202119922934
MIF,1.3664339713061207,15.629958844908714,8.504387591315332e-29,12.14785935,10.781425378693879,1.4926856921639834e-26,True,Upregulated in Tumor,25.826031630003776
HEG1,-1.5196784038557336,-15.504385423386958,9.992422037888173e-29,8.88007217210345,10.399750575959184,1.7313792800263928e-26,True,Downregulated in Tumor,25.761607784129602
GPM6A,-2.8358372182952136,-19.319565714709434,1.0786326234873845e-28,6.044593381051725,8.880430599346939,1.8452810008141776e-26,True,Downregulated in Tumor,25.733937489770188
LOC101927458 /// LPHN2,-1.9229773468219573,-15.330386822067629,1.6305503394925548e-28,7.150857998586206,9.073835345408163,2.720603436819985e-26,True,Downregulated in Tumor,25.565334757651417
ADH1B,-3.346904757887051,-16.547421637404728,1.9913722679713665e-28,7.910073161051724,11.256977918938775,3.282121488004027e-26,True,Downregulated in Tumor,25.48384534753848
FAM189A2,-1.3100129418465878,-15.707708377002511,2.5264792904974427e-28,7.563221294275862,8.87323423612245,4.113899712177462e-26,True,Downregulated in Tumor,25.385746299656077
ERG,-1.7058869898476416,-15.30971429422298,3.0558560653591937e-28,6.891272758948276,8.597159748795917,4.916654133729703e-26,True,Downregulated in Tumor,25.308330341454763
TBX2,-1.541679248837088,-16.313380325566975,3.213966464513505e-28,8.613624938224136,10.155304187061224,5.1102066785764725e-26,True,Downregulated in Tumor,25.291561534786982
FXYD1,-1.4880772323522171,-16.468359152057566,3.5194149754078324e-28,7.345994117362069,8.834071349714286,5.530801557283355e-26,True,Downregulated in Tumor,25.25721192354546
CHRDL1,-2.001509178506333,-15.166795721498614,3.7152064722254698e-28,6.843471026534483,8.844980205040816,5.771381088750255e-26,True,Downregulated in Tumor,25.238720247944496
CFD,-2.158523232560169,-15.117038453346304,4.32146437261428e-28,8.309550419827586,10.468073652387755,6.56231359504292e-26,True,Downregulated in Tumor,25.18294301970698
METTL7A,-1.685171774663969,-16.28518264755267,4.389487827817913e-28,9.376559195948275,11.061730970612244,6.591547554773233e-26,True,Downregulated in Tumor,25.181012610353555
COX7A1,-1.4460386301759334,-15.094531510345611,5.658997103303117e-28,7.506974971068966,8.9530136012449,8.404543500125454e-26,True,Downregulated in Tumor,25.075485870655278
LPL,-2.3892575675598184,-15.650298012878508,6.201808516152154e-28,8.904877519603447,11.294135087163266,9.11059153215178e-26,True,Downregulated in Tumor,25.040453424255407
TMEM100,-3.570312733105558,-15.347365998684873,6.4525355338562725e-28,6.868648155241381,10.438960888346939,9.37699115484597e-26,True,Downregulated in Tumor,25.02793649365428
MFAP4,-2.111399293852216,-15.49864693200323,7.116637584920363e-28,8.21455044186207,10.325949735714286,1.0232059251084969e-25,True,Downregulated in Tumor,24.990036953640352
S1PR1,-1.2774482228821276,-17.435522576162327,1.0571517861737393e-27,7.605246414913792,8.88269463779592,1.5039375147513776e-25,True,Downregulated in Tumor,24.822770207336404
DIAPH2,-1.0070375450735387,-16.197479273574448,1.1585906808826947e-27,7.965676085844828,8.972713630918367,1.6147777582542106e-25,True,Downregulated in Tumor,24.79188724113811
RCC1,1.0104408617980303,15.174176045237711,1.158959989276052e-27,8.462182713655173,7.451741851857142,1.6147777582542106e-25,True,Upregulated in Tumor,24.79188724113811
FCN3,-3.503098881885995,-16.34869345874548,1.2041542829495377e-27,7.97632240037931,11.479421282265305,1.6438530438447478e-25,True,Downregulated in Tumor,24.78413700984949
ADAMTS8,-1.5815384264408845,-16.905794426372804,1.272331362109465e-27,5.690588546844828,7.272126973285713,1.719555835890942e-25,True,Downregulated in Tumor,24.764583717588042
FMO2,-2.468074564039407,-14.875002079934319,1.454141890976008e-27,9.16366129510345,11.631735859142857,1.94581461945948e-25,True,Downregulated in Tumor,24.71089853795298
THBD,-1.881739089167839,-14.848671242979243,1.5688516636690219e-27,8.393776599913794,10.275515689081633,2.078728454361454e-25,True,Downregulated in Tumor,24.682202239131616
FBLN5,-1.5189396822142882,-14.949382625219503,1.6977534055961097e-27,8.6784654515,10.197405133714287,2.2276832307409147e-25,True,Downregulated in Tumor,24.652146564360912
CA4,-2.5535084962142856,-20.255151896337267,1.8348760905685234e-27,6.912716669500001,9.466225165714286,2.384456765772461e-25,True,Downregulated in Tumor,24.62261054765103
TMEM204,-1.5645909540323686,-15.093350563039746,1.9266224670226363e-27,8.231924977620691,9.79651593165306,2.479838346839136e-25,True,Downregulated in Tumor,24.605576628594722
ENG,-1.3757525064074603,-14.93958480820675,2.077244357095872e-27,8.538108714551724,9.913861220959184,2.6237343445000663e-25,True,Downregulated in Tumor,24.581080139783538
PDLIM2,-1.479070482542225,-14.781959922412344,2.1403105782233366e-27,8.09398281439655,9.573053296938776,2.6783608763600364e-25,True,Downregulated in Tumor,24.57213090751339
PPAP2C,1.8724534422389176,14.797765067519212,2.3712685308569186e-27,8.334632275810346,6.4621788335714285,2.940155430690941e-25,True,Upregulated in Tumor,24.53162971009563
RASL12,-1.273340086547151,-14.961813024107832,2.683530123079525e-27,7.212988403534483,8.486328490081634,3.297082692129071e-25,True,Downregulated in Tumor,24.48187016044405
KIAA1462,-1.8764116398011952,-16.98353900258948,3.0880304987818402e-27,5.65937134036207,7.535782980163265,3.7564021429648667e-25,True,Downregulated in Tumor,24.42522792036713
SRPX,-1.8661850572156933,-14.650664644622653,3.960770505888008e-27,7.602572081396552,9.468757138612245,4.7371516271749055e-25,True,Downregulated in Tumor,24.32448271411277
FHL5,-1.1938571445545394,-16.79726416062084,4.074860435773687e-27,6.678503019241379,7.872360163795919,4.830854279779068e-25,True,Downregulated in Tumor,24.31597606258434
SYNM,-1.1898990022399714,-15.232042218161181,4.55342850539567e-27,7.82663783486207,9.016536837102041,5.351268369601955e-25,True,Downregulated in Tumor,24.271543268327815
MACF1,-1.2933110057470074,-15.21021057728149,5.2661964923631705e-27,10.692455453844827,11.985766459591835,6.083132102075918e-25,True,Downregulated in Tumor,24.215872752240074
PTPRB,-1.4761858986178753,-14.861153990433998,5.619531297850511e-27,7.120453211586207,8.596639110204082,6.436268261902514e-25,True,Downregulated in Tumor,24.19136586292043
DOCK4,-1.8519336042142855,-14.581499712252992,6.383193240507332e-27,7.9067051505,9.758638754714285,7.249483751719041e-25,True,Downregulated in Tumor,24.13969291918935
LRRN3,-1.459536241655524,-17.475124791367264,6.668290015015918e-27,7.138306819568966,8.59784306122449,7.510161629411677e-25,True,Downregulated in Tumor,24.124350716257315
SLC27A3,-1.1241647135619264,-14.560562965203289,6.820338844491117e-27,8.327711352948276,9.451876066510202,7.617923924239459e-25,True,Downregulated in Tumor,24.118163368698962
STXBP6,-1.4054842845686144,-16.786843728333647,8.696049155041905e-27,6.897427963206897,8.302912247775511,9.555049132552141e-25,True,Downregulated in Tumor,24.019767075438754
PAICS,1.669104096214637,15.194325677844008,1.0799806183283616e-26,10.029449376275862,8.360345280061225,1.1770917787667585e-24,True,Upregulated in Tumor,23.929189673555886
CD34,-1.049817300787474,-15.170501526707485,1.1659874512793067e-26,8.442127478620689,9.491944779408163,1.2606656323231865e-24,True,Downregulated in Tumor,23.899400086537863
GOLM1,1.8314141314584802,14.965534566558974,1.2667264512690753e-26,9.035601580948276,7.204187449489796,1.3587149197540914e-24,True,Upregulated in Tumor,23.866871655677606
FRY,-1.9456722770964117,-14.411246629730327,1.625109647385144e-26,7.741386676413793,9.687058953510205,1.7293981798748207e-24,True,Downregulated in Tumor,23.76210500243842
ARHGEF6,-1.0307588044306843,-14.411224889859293,1.8063949843414837e-26,8.682744746344827,9.713503550775512,1.892513814990322e-24,True,Downregulated in Tumor,23.722960941549335
MMRN2,-1.1713037333712188,-16.71530828832191,2.1534660098276532e-26,7.458113208465517,8.629416941836736,2.2387763940631332e-24,True,Downregulated in Tumor,23.649989280996223
DENND3,-1.048977142887404,-14.634614061361514,2.2816122478009073e-26,8.162723054275862,9.211700197163266,2.3538923304602493e-24,True,Downregulated in Tumor,23.628213406129966
HOXA5,-1.402457056028851,-14.689502398901507,2.6536789801267315e-26,8.34747408537931,9.749931141408162,2.717005410334301e-24,True,Downregulated in Tumor,23.56590949677681
OLFML1,-1.132374587019,-14.2506917825066,3.7750018142236715e-26,7.824669857103449,8.957044444122449,3.836026279641573e-24,True,Downregulated in Tumor,23.416118426250012
ANGPT1,-1.442517278043633,-14.21963457800619,4.4930624690397365e-26,7.539400510793103,8.981917788836736,4.498054760672003e-24,True,Downregulated in Tumor,23.346975261636512
LHFP,-1.6410456023881057,-14.393105157606854,4.466689196381835e-26,8.438003489224139,10.079049091612244,4.498054760672003e-24,True,Downregulated in Tumor,23.346975261636512
LEPREL1,-1.3974986504859244,-14.521026619801676,4.7484375444647344e-26,7.944645975534484,9.342144626020408,4.698383473419281e-24,True,Downregulated in Tumor,23.32805153979481
LMO2,-1.5537385250401128,-14.2645129460198,4.856146794772524e-26,7.743235642551723,9.296974167591836,4.755856806619613e-24,True,Downregulated in Tumor,23.322771229964015
SNRK,-1.2180683252962705,-14.230328320733664,5.511370178648052e-26,9.018624328724139,10.236692654020409,5.358717119743052e-24,True,Downregulated in Tumor,23.270939168236705
PID1,-1.5358384528645308,-14.146611068233684,6.07080819733759e-26,6.801720008706897,8.337558461571428,5.860498056215538e-24,True,Downregulated in Tumor,23.23206547376441
ENO1,1.0759111847536964,14.092098766583348,6.315776379795343e-26,12.268070271896553,11.192159087142857,6.05373884914426e-24,True,Upregulated in Tumor,23.217976317905688
KLF4,-2.2198551445151278,-14.098815328192604,6.36743883639921e-26,8.666885324137931,10.886740468653059,6.060277174220797e-24,True,Downregulated in Tumor,23.21750751238787
ICAM2,-1.53223027366397,-14.062824435475411,6.845761708816529e-26,8.745157522948276,10.277387796612246,6.4699629017241524e-24,True,Downregulated in Tumor,23.189098209535732
DLC1,-2.2454019590520744,-14.875561351784366,8.145593251809174e-26,9.227363474172414,11.472765433224488,7.644978666541736e-24,True,Downregulated in Tumor,23.116623722156977
BZW2,1.1276273624444055,14.116851133687492,8.550163083777005e-26,10.527602907913794,9.399975545469388,7.96934166049974e-24,True,Upregulated in Tumor,23.098577553763405
PPP1R14B,1.227559645270583,14.168220512550464,9.292272410444776e-26,9.313442453637931,8.085882808367348,8.485477136970347e-24,True,Upregulated in Tumor,23.071323732353104
SULF1,2.1182963355348328,14.089999840634576,1.1286393591654685e-25,10.000201990310343,7.88190565477551,1.0237289220886783e-23,True,Upregulated in Tumor,22.989815026979816
CTNNAL1,-1.4279139031280792,-13.965186042891133,1.308402719221385e-25,8.680078686586207,10.107992589714286,1.1788708500184679e-23,True,Downregulated in Tumor,22.92853377098345
AHNAK,-1.351626924534484,-14.131591008707103,1.5098428794364483e-25,10.788977475465517,12.1406044,1.3424688497094472e-23,True,Downregulated in Tumor,22.872095782765278
WFS1,-1.252047168921532,-14.218403691566172,1.5695290121983853e-25,8.742797361017242,9.994844529938774,1.386417294108574e-23,True,Downregulated in Tumor,22.858106032890014
INPP5A,-1.1049084328201975,-13.896014266802496,1.8859181229246268e-25,8.768273483465517,9.873181916285715,1.6443989310533117e-23,True,Downregulated in Tumor,22.783992814206087
TOP2A,2.4559629390102025,14.597794925201223,1.9516868408644598e-25,8.5102642875,6.054301348489798,1.6908363880950752e-23,True,Upregulated in Tumor,22.771898414392314
KAL1,-2.0550092384521452,-13.879944137533514,2.350321559205271e-25,8.693365652017242,10.748374890469387,2.0232226670483587e-23,True,Downregulated in Tumor,22.693956318045384
SRPK1,1.0204497539623505,14.150271593689618,2.3910920292587267e-25,8.80287075298276,7.782420999020409,2.0452916946475754e-23,True,Upregulated in Tumor,22.689244745191157
PTRF,-1.2956365370844463,-13.81370905533965,2.434251663988531e-25,9.688942236793103,10.98457877387755,2.0691139143902515e-23,True,Downregulated in Tumor,22.684215598735314
LIMS2,-1.6278048224327941,-16.367197652541684,2.7588864091553704e-25,7.583451732689656,9.21125655512245,2.330396863733427e-23,True,Downregulated in Tumor,22.632570112856953
LINC00341 /// SYNE3,-1.301834457085505,-13.761048026606106,3.028935298496158e-25,7.037395573465517,8.339230030551022,2.5426124570916504e-23,True,Downregulated in Tumor,22.594719829589376
KANK2,-1.2206030149264624,-13.778027799485692,3.0636157121730032e-25,9.294248814155171,10.514851829081634,2.551706300887484e-23,True,Downregulated in Tumor,22.593169313980727
TGFBR2,-1.430807130483112,-14.114042702704971,3.077529611873177e-25,10.005651570741376,11.436458701224488,2.551706300887484e-23,True,Downregulated in Tumor,22.593169313980727
GATA6,-1.8365408195200583,-14.974080912993642,3.3091758711200703e-25,6.554504462275862,8.39104528179592,2.7105158726174394e-23,True,Downregulated in Tumor,22.566948045173653
LIMCH1,-1.739323750363475,-13.996077444907607,3.4408584237401614e-25,9.737563952534483,11.476887702897958,2.801397686557125e-23,True,Downregulated in Tumor,22.55262523433333
SPARCL1,-1.5333987423022535,-14.343233033843813,3.6844883925273404e-25,10.968142729534483,12.501541471836736,2.981788061377665e-23,True,Downregulated in Tumor,22.525523228436757
HMGB3,2.2161972544373683,15.326165400505172,3.847105378864524e-25,10.257901259396553,8.041704004959184,3.076546106233967e-23,True,Upregulated in Tumor,22.51193657203282
GIMAP6,-1.9101632446608026,-13.74064603135972,4.280346938004726e-25,7.237816503931034,9.147979748591837,3.402875815713757e-23,True,Downregulated in Tumor,22.468153899724157
WIF1,-3.6867095054025327,-14.256326501823507,6.252315543204424e-25,6.253551396413794,9.940260901816327,4.9415230740589353e-23,True,Downregulated in Tumor,22.30613917238992
ADRB2,-1.559688879913793,-13.838442439215283,6.5116278047215415e-25,8.332980361086207,9.892669241,5.1165494058611414e-23,True,Downregulated in Tumor,22.291022827930107
TSPAN7,-1.8047090436678381,-14.253243933476485,8.905562875530677e-25,8.196679987413795,10.001389031081633,6.957149263745497e-23,True,Downregulated in Tumor,22.15756867887239
GAS6,-1.0145673989679818,-13.583467795499459,9.87937163849199e-25,10.627493719603446,11.642061118571428,7.673546419208002e-23,True,Downregulated in Tumor,22.11500387538228
ZBTB16,-2.2585291583163274,-13.703147916797793,1.0304134730395956e-24,7.2151676364999995,9.473696794816327,7.957736050360077e-23,True,Downregulated in Tumor,22.099210470036727
LYVE1,-1.2306568017952166,-15.36016517236353,1.0403810760571437e-24,8.049053044551723,9.27970984634694,7.98906263801835e-23,True,Downregulated in Tumor,22.097504173754515
MYH11,-1.5759944085601703,-13.499461423500053,1.1048394688087171e-24,10.380182420827586,11.956176829387756,8.436104757598764e-23,True,Downregulated in Tumor,22.073858035930584
HSPB8,-1.4341753819521461,-13.456910147138364,1.5711972349399172e-24,8.293353632517242,9.727529014469388,1.1929623949557854e-22,True,Downregulated in Tumor,21.923373246120605
DACH1,-1.4428715135457422,-13.80064646770254,1.6977418183404625e-24,5.763612529637931,7.206484043183673,1.2747211486039639e-22,True,Downregulated in Tumor,21.894584808851675
GHR,-1.4553795173589004,-13.611539039676343,1.8535275714509595e-24,5.39834866362069,6.853728180979591,1.384001388296117e-22,True,Downregulated in Tumor,21.85886347423689
MEIS1,-1.083149405092188,-13.355092948331981,2.3354611496818167e-24,7.681257114724138,8.764406519816326,1.734272386700536e-22,True,Downregulated in Tumor,21.760882690740633
TRPV2,-1.0433827294489806,-13.548078883426761,2.4060609845236486e-24,7.186896944999999,8.23027967444898,1.7769352025047601e-22,True,Downregulated in Tumor,21.750328408833816
DPYSL2,-1.5380612511161154,-14.732228243258701,2.527123870285513e-24,10.116261842965518,11.654323094081633,1.8561999514624298e-22,True,Downregulated in Tumor,21.731375243020448
FERMT2,-1.2747245339581301,-13.250356110950868,3.999300931873111e-24,9.631361030327586,10.906085564285716,2.905943660981994e-22,True,Downregulated in Tumor,21.53671280984592
WFDC1,-1.287297295514076,-13.420478639566678,4.1065825302325406e-24,8.366109744465517,9.653407039979593,2.9602181629702056e-22,True,Downregulated in Tumor,21.528676281007723
